Year,GHGRP ID,National Pollutant Release Inventory (NPRI) identifier,Company & facility name,NAICS,City,Province / territory,CO2,CH4,N2O,HFC,PFC,SF6,Total
2004,G10001,983,"Abitibi-Consolidated du Canada, Division Alma - Abitibi Consolidated, Division Alma",322111,ALMA,Quebec,101093,182.644,1001.435,0,0,0,102277.079
2004,G10002,3649,Mittal Canada Inc. - Aciérie - Complexe de Contrecoeur,331110,CONTRECOEUR,Quebec,148849.102051,12.6,174.582,0,0,0,149036.284051
2004,G10003,,"Foothills Pipe Lines Ltd. - Acme Compressor Station # 363, Alberta",486210,AIRDRIE,Alberta,275767.1875,1691.76,3240.95,0,0,0,280699.8975
2004,G10004,5765,Kingston Cogen Limited Partnership - AES Kingston ULC,221112,BATH,Ontario,212366.5,0.4424,1.4575,0,0,0,212368.3999
2004,G10005,6229,AFG Industries Ltée - AFG Industries Ltée,327214,ST-AUGUSTIN-DE-DESMAURES,Quebec,124313,0,0,0,0,0,124313
2004,G10006,2134,Agrium Inc. - Agrium Redwater Fertilizer Operation,325313,REDWATER,Alberta,1060738.745117,168835.52602,17373.400265,0,0,0,1246947.671402
2004,G10007,3974,Alberta Envirofuels Inc. - Alberta Envirofuels Inc.,325190,EDMONTON,Alberta,345246,1428,1802,0,0,0,348476
2004,G10008,,Alliance Pipeline Ltd. - Alberta Pipeline System,486210,CALGARY,Alberta,514020.700001,49433.998712,3268.775,0,0,0,566723.473713
2004,G10009,1,Alberta-Pacific Forest Industries Inc. acting as a - Alberta-Pacific Forest Industries Inc. Pulp Mill,322112,COUNTY OF ATHABASCA,Alberta,81605.739014,2478.912744,15998.553235,0,0,0,100083.204993
2004,G10010,2788,Alcan Inc 1188 Sherbrooke Ouest Montreal H3A3G2 - Alcan Primary Metal-British Columbia,331313,KITIMAT,British Columbia,563364,50.8592,359.4195,106.08,937098.58326,23.5,1501002.44196
2004,G10011,1070,Algoma Steel Inc - Algoma Steel Inc,331110,SAULT STE. MARIE,Ontario,3850802.755859,38806.06926,11286.614735,0,0,0,3900895.439854
2004,G10012,4778,Aluminerie Alouette inc. - Aluminerie Alouette inc.,331313,SEPT-ÎLES,Quebec,414290.09375,23.7776,86.8405,92.96,35506.71,14.1,450014.48185
2004,G10013,2038,Alcoa Limitée - Aluminerie de Baie-Comeau,331313,BAIE-COMEAU,Quebec,768179,13.468,297.065,26,896597.34,91.65,1665204.523
2004,G10014,1071,Aluminerie de Bécancour inc. - Aluminerie de Bécancour,331313,BÉCANCOUR,Quebec,452913,25.284,212,0,31734,0,484884.284
2004,G10015,,ATCO Gas and Pipelines Ltd. - ATCO Pipelines,486210,EDMONTON,Alberta,109940.685303,189447.821388,4585.3745,0,0,0,303973.881191
2004,G10016,3238,Ontario Power Generation Inc. - Atikokan Generating Station,221112,ATIKOKAN,Ontario,1177418,392,2915,0,0,0,1180725
2004,G10017,1902,Nexen Inc. - Balzac Gas Processing Plant,211113,BALZAC,Alberta,252280.400024,16970.799748,1590,0,0,0,270841.199772
2004,G10018,1033,Alberta Power (2000) Ltd. - Battle River Generating Station,221112,FORESTBURG,Alberta,5022943.5,1348.143972,18486.77047,0,0,0,5042778.414442
2004,G10019,1408,Bayer CropScience Inc. - Bayer CropScience Inc. Formulation Facility,325320,REGINA,Saskatchewan,22.299999,0,10.6,0,0,0,32.899999
2004,G10020,5084,Bayside Power L.P. - Bayside Power,221112,SAINT JOHN,New Brunswick,731798,0,35006.50159,0,0,0,766804.50159
2004,G10021,5591,Graymont (QC) Inc. - Bedford,327410,BEDFORD,Quebec,522885.758057,65.156,592.805,0,0,0,523543.719057
2004,G10022,1698,NB Power Generation Coporation - Belledune Generating Station,221112,BELLEDUNE,New Brunswick,3090000,0,0,0,0,0,3090000
2004,G10023,424,Imperial Oil Resources - Bonnie Glen Gas Plant,211113,THORSBY,Alberta,323500,42000,4505,0,0,0,370005
2004,G10024,2081,Saskatchewan Power Corporation - Boundary Dam Power Station,221112,ESTEVAN,Saskatchewan,6570850,0,0,0,0,0,6570850
2004,G10025,930,Bowater Canadian Forest Products Inc. - Bowater - Thunder Bay Operations,322112,THUNDER BAY,Ontario,246522.25,1840.132056,11925.264735,31.2,0,0,260318.846791
2004,G10026,6896,City of Winnipeg - Brady Road Landfill,562210,WINNIPEG,Manitoba,31780,393148,0,0,0,0,424928
2004,G10027,4173,DaimlerChrysler Canada Inc. - Brampton Assembly Plant,336110,BRAMPTON,Ontario,107353.799999,58.1,522.05,240.76,0,0,108174.709999
2004,G10028,821,Manitoba Hydro - Brandon Generating Station,221112,BRANDON,Manitoba,355576.766998,156.072,1671.62,0,0,0,357404.458998
2004,G10029,3749,Petro-Canada - Brazeau Gas Plant,211113,DRAYTON VALLEY,Alberta,133038.698242,18102.559692,1782.39,0,0,0,152923.647934
2004,G10030,1362,Keyera Energy - Brazeau GP,211113,DRAYTON VALLEY,Alberta,88517,12488,3206.5,0,0,0,104211.5
2004,G10031,11009,Brighton Beach Power L.P. - Brighton Beach Power,221112,WINDSOR,Ontario,189356.732176,413,1362.895,0,0,0,191132.627176
2004,G10032,,City of Toronto - Brock West Landfill,562210,PICKERING,Ontario,0,169703.515632,0,0,0,0,169703.515632
2004,G10033,4317,Lafarge Canada Inc. - Brookfield Plant,327310,BROOKFIELD,Nova Scotia,292561,0,0,0,0,0,292561
2004,G10034,5014,Brooklyn Power Corporation - Brooklyn Energy Centre,221119,BROOKLYN,Nova Scotia,0,1090.879972,96361.951325,0,0,293.75,97746.581297
2004,G10035,4024,Xstrata Canada Corporation - Xstrata Zinc - Brunswick Smelter,331410,BELLEDUNE,New Brunswick,153434,130.2,1409.8,0,0,0,154974
2004,G10036,2776,Chevron Canada Limited - Burnaby Refinery,324110,BURNABY,British Columbia,454489,224,1325,0,0,0,456038
2004,G10037,3240,British Columbia Hydro and Power Authority - Burrard Generating Station,221112,PORT MOODY,British Columbia,236240.203125,1713.600028,1616.5,0,0,0,239570.303153
2004,G10038,,"TransCanada PipeLines Ltd. - Burstall Compressor Station - 2, Saskatchewan",486210,BURSTALL,Saskatchewan,1032000.0625,49854.280056,11980.649735,0,0,0,1093834.992291
2004,G10039,5808,Cabot Canada Limited - Cabot Canada Limited,325189,SARNIA,Ontario,225324.98,1352.4,177.55,0,0,0,226854.93
