Province,Year,Emissions
Alberta,2004,107908891.949756
Alberta,2005,107181269.26335
Alberta,2006,114035156.030704
Alberta,2007,112378133.610479
Alberta,2008,110772490.371924
Alberta,2009,118399455.079576
Alberta,2010,123560580.8514
Alberta,2011,124259103.079195
Alberta,2012,127310812.281582
Alberta,2013,133089989.37234
Alberta,2014,139576431.316402
Alberta,2015,141449699.675758
Alberta,2016,141055582.06984898
Alberta,2017,159062819.874724
Alberta,2018,157469165.478734
Alberta,2019,157869292.693494
Alberta,2020,148674771.975629
Alberta,2021,151815010.318378
Alberta,2022,152736124.376479
Alberta,2023,152897747.332651
British Columbia,2004,14705620.883836
British Columbia,2005,14051411.908226
British Columbia,2006,12764819.286187
British Columbia,2007,13109393.679791
British Columbia,2008,13443739.302997
British Columbia,2009,13708335.430297
British Columbia,2010,14293840.753221
British Columbia,2011,14908026.237109
British Columbia,2012,14780957.360405
British Columbia,2013,15326759.303159
British Columbia,2014,14865523.640225
British Columbia,2015,13958655.980579
British Columbia,2016,13646850.028645
British Columbia,2017,17115143.105539
British Columbia,2018,16507551.084678
British Columbia,2019,17292181.136704
British Columbia,2020,16788802.011685
British Columbia,2021,18155227.3098
British Columbia,2022,17319568.015453
British Columbia,2023,17246826.924368
Manitoba,2004,2629600.374806
Manitoba,2005,2971315.236775
Manitoba,2006,2577746.042057
Manitoba,2007,2540244.229468
Manitoba,2008,2422913.227784
Manitoba,2009,2220238.7294
Manitoba,2010,1967710.54273
Manitoba,2011,2090316.6157999998
Manitoba,2012,1961265.769408
Manitoba,2013,2102150.368021
Manitoba,2014,2021852.439083
Manitoba,2015,2154989.447888
Manitoba,2016,1896172.226022
Manitoba,2017,2496265.456059
Manitoba,2018,2671102.776962
Manitoba,2019,2694231.265612
Manitoba,2020,2553530.176444
Manitoba,2021,2700283.168948
Manitoba,2022,2907828.441612
Manitoba,2023,2435428.163531
New Brunswick,2004,12974596.975603
New Brunswick,2005,12650826.657989
New Brunswick,2006,10233350.014552
New Brunswick,2007,10911232.5268
New Brunswick,2008,10286065.684698
New Brunswick,2009,10118393.807639001
New Brunswick,2010,8228853.839803
New Brunswick,2011,7862585.168487
New Brunswick,2012,7212871.607260001
New Brunswick,2013,7517965.539321001
New Brunswick,2014,7553016.059460999
New Brunswick,2015,7256261.106850999
New Brunswick,2016,7791162.262801999
