Province,Year,Annual_Mean_Temp,Annual_Max_Temp,Annual_Min_Temp,Station_Count,GEO,Population,Emissions
Alberta,1950,1.25,36.7,-46.1,96,Alberta,919744,126123277.23779942
Alberta,1951,0.88,38.9,-44.4,96,Alberta,939834,126537786.10699905
Alberta,1952,4.11,36.1,-36.7,104,Alberta,971500,125604712.69819643
Alberta,1953,4.39,38.9,-33.3,112,Alberta,1010250,125816395.91237015
Alberta,1954,3.08,40.0,-38.9,111,Alberta,1054250,126501286.58305414
Alberta,1955,1.35,38.3,-43.3,117,Alberta,1089500,126694302.99601549
Alberta,1956,3.17,36.7,-40.0,136,Alberta,1122250,126031332.03062077
Alberta,1957,2.95,36.7,-38.3,125,Alberta,1161250,126031332.03062077
Alberta,1958,3.84,36.7,-35.0,127,Alberta,1205250,125542390.0193746
Alberta,1959,2.68,36.7,-37.3,122,Alberta,1247250,125984305.8945365
Alberta,1960,2.99,40.6,-38.3,119,Alberta,1289750,126545978.99966139
Alberta,1961,3.86,41.7,-37.8,123,Alberta,1330500,126236942.82300198
Alberta,1962,4.83,36.1,-35.6,180,Alberta,1368500,123991452.6280004
Alberta,1963,5.6,37.2,-35.0,201,Alberta,1402500,124504007.49060571
Alberta,1964,4.45,38.9,-35.6,208,Alberta,1427750,126194719.84738185
Alberta,1965,4.32,35.6,-37.8,279,Alberta,1448000,118086067.04416536
Alberta,1966,4.19,35.0,-37.8,303,Alberta,1462500,118086067.04416536
Alberta,1967,4.92,38.3,-35.6,326,Alberta,1488250,112704512.05222183
Alberta,1968,4.8,37.2,-34.5,332,Alberta,1522750,113372349.66354828
Alberta,1969,4.49,40.6,-39.4,335,Alberta,1558000,115092938.61953038
Alberta,1970,4.39,41.1,-38.9,344,Alberta,1593000,115539400.92714547
Alberta,1971,4.62,39.4,-38.9,329,Alberta,1645089,113892684.25711836
Alberta,1972,3.74,36.7,-40.0,337,Alberta,1691588,116173901.58276515
Alberta,1973,4.81,40.0,-33.9,350,Alberta,1722375,112560767.8772816
Alberta,1974,4.74,39.4,-33.9,366,Alberta,1752854,112577338.10148387
Alberta,1975,3.89,40.6,-38.3,373,Alberta,1802853,115487789.66942722
Alberta,1976,6.2,37.2,-32.2,360,Alberta,1864399,112837969.63463488
Alberta,1977,5.56,36.7,-32.4,356,Alberta,1942192,112950151.49279712
Alberta,1978,4.7,39.0,-36.3,347,Alberta,2017090,112822467.63094874
Alberta,1979,4.91,38.5,-37.8,341,Alberta,2092557,112897654.85718848
Alberta,1980,5.51,35.0,-35.3,347,Alberta,2184262,113766529.35145704
Alberta,1981,6.88,38.0,-28.8,348,Alberta,2282738,112765035.98658367
Alberta,1982,3.53,35.0,-40.7,346,Alberta,2359433,116300517.46908703
Alberta,1983,5.07,41.0,-34.8,343,Alberta,2389818,112713894.6031124
