Province,Year,Annual_Mean_Temp,Annual_Max_Temp,Annual_Min_Temp,Station_Count
AB,1950,1.25,36.7,-46.1,96
AB,1951,0.88,38.9,-44.4,96
AB,1952,4.11,36.1,-36.7,104
AB,1953,4.39,38.9,-33.3,112
AB,1954,3.08,40.0,-38.9,111
AB,1955,1.35,38.3,-43.3,117
AB,1956,3.17,36.7,-40.0,136
AB,1957,2.95,36.7,-38.3,125
AB,1958,3.84,36.7,-35.0,127
AB,1959,2.68,36.7,-37.3,122
AB,1960,2.99,40.6,-38.3,119
AB,1961,3.86,41.7,-37.8,123
AB,1962,4.83,36.1,-35.6,180
AB,1963,5.6,37.2,-35.0,201
AB,1964,4.45,38.9,-35.6,208
AB,1965,4.32,35.6,-37.8,279
AB,1966,4.19,35.0,-37.8,303
AB,1967,4.92,38.3,-35.6,326
AB,1968,4.8,37.2,-34.5,332
AB,1969,4.49,40.6,-39.4,335
AB,1970,4.39,41.1,-38.9,344
AB,1971,4.62,39.4,-38.9,329
AB,1972,3.74,36.7,-40.0,337
AB,1973,4.81,40.0,-33.9,350
AB,1974,4.74,39.4,-33.9,366
AB,1975,3.89,40.6,-38.3,373
AB,1976,6.2,37.2,-32.2,360
AB,1977,5.56,36.7,-32.4,356
AB,1978,4.7,39.0,-36.3,347
AB,1979,4.91,38.5,-37.8,341
AB,1980,5.51,35.0,-35.3,347
AB,1981,6.88,38.0,-28.8,348
AB,1982,3.53,35.0,-40.7,346
AB,1983,5.07,41.0,-34.8,343
AB,1984,5.03,44.0,-34.9,344
AB,1985,4.46,39.0,-36.0,360
AB,1986,5.87,38.2,-30.7,358
AB,1987,6.7,39.0,-26.4,364
AB,1988,6.1,40.0,-32.8,369
AB,1989,5.41,38.0,-37.3,388
AB,1990,5.67,39.0,-36.1,381
AB,1991,5.93,40.0,-33.0,362
AB,1992,5.91,36.5,-30.1,362
AB,1993,5.16,35.0,-32.5,377
AB,1994,4.95,37.8,-37.0,374
AB,1995,4.31,39.4,-35.5,378
AB,1996,2.94,37.0,-43.0,383
AB,1997,5.6,38.5,-33.8,375
AB,1998,6.47,40.2,-33.8,370
AB,1999,5.84,36.8,-28.8,384
AB,2000,4.28,38.5,-34.4,398
AB,2001,5.31,39.8,-31.7,410
AB,2002,3.84,40.0,-35.3,454
AB,2003,4.38,39.4,-35.7,463
AB,2004,4.81,39.0,-32.3,457
AB,2005,5.28,37.2,-30.6,456
AB,2006,5.62,38.3,-31.1,444
AB,2007,5.25,41.0,-31.6,486
AB,2008,4.65,38.1,-36.9,421
AB,2009,3.85,37.0,-38.1,396
AB,2010,4.43,37.7,-32.8,395
AB,2011,4.29,37.9,-36.0,403
AB,2012,3.62,37.8,-36.1,252
AB,2013,3.14,36.7,-38.3,243
AB,2014,2.81,36.6,-39.7,236
AB,2015,4.79,38.5,-33.1,226
AB,2016,4.95,35.6,-31.0,220
AB,2017,3.97,38.1,-36.4,211
AB,2018,2.74,40.8,-38.2,210
AB,2019,2.36,37.3,-40.1,206
AB,2020,3.21,37.7,-37.6,206
AB,2021,3.89,42.8,-40.0,203
AB,2022,3.01,40.6,-41.7,201
AB,2023,5.04,39.8,-33.4,199
AB,2024,-4.11,36.3,-41.6,191
BC,1950,6.25,38.3,-30.6,148
BC,1951,6.51,40.6,-27.8,157
BC,1952,7.31,39.4,-22.8,167
BC,1953,7.87,38.9,-19.4,171
BC,1954,6.75,35.6,-23.9,179
BC,1955,5.43,39.4,-27.8,189
BC,1956,6.66,41.1,-26.1,189
BC,1957,6.87,36.7,-26.7,212
BC,1958,8.46,40.6,-21.1,225
BC,1959,6.97,39.5,-22.8,237
BC,1960,7.22,40.6,-22.2,246
BC,1961,7.75,41.7,-22.2,253
BC,1962,7.67,38.9,-21.7,265
BC,1963,8.04,37.8,-21.7,260
BC,1964,6.74,38.3,-22.8,252
BC,1965,7.39,41.7,-22.8,269
BC,1966,7.24,38.3,-22.2,282
BC,1967,7.86,41.1,-21.7,283
BC,1968,7.37,40.0,-23.4,289
BC,1969,7.25,40.0,-26.1,299
BC,1970,6.95,38.9,-23.9,325
BC,1971,6.51,42.2,-25.6,332
BC,1972,6.21,40.0,-27.2,337
BC,1973,6.74,39.4,-23.3,368
BC,1974,7.19,41.1,-22.8,408
BC,1975,5.99,41.1,-26.7,421
BC,1976,6.68,36.7,-21.7,403
BC,1977,6.71,40.6,-23.9,397
BC,1978,6.75,41.5,-25.7,384
BC,1979,7.07,41.5,-27.3,381
BC,1980,7.03,38.0,-24.7,400
BC,1981,7.57,39.1,-19.9,399
BC,1982,6.02,39.5,-27.3,409
BC,1983,7.14,38.5,-23.7,415
BC,1984,6.4,39.0,-24.0,440
BC,1985,5.96,41.0,-26.8,432
BC,1986,7.27,39.5,-21.9,435
BC,1987,8.01,40.5,-19.2,451
BC,1988,7.44,40.0,-21.7,465
BC,1989,7.28,38.0,-24.5,462
BC,1990,7.44,40.2,-25.2,463
BC,1991,7.5,39.0,-22.5,471
BC,1992,8.11,39.8,-20.6,477
BC,1993,7.44,37.5,-24.7,471
BC,1994,8.03,42.6,-21.8,456
BC,1995,7.9,40.0,-22.7,453
BC,1996,6.42,41.2,-28.3,420
BC,1997,7.92,38.7,-20.8,400
BC,1998,8.81,42.8,-20.5,395
BC,1999,7.52,37.5,-18.3,385
BC,2000,7.32,38.8,-21.4,375
BC,2001,7.47,38.7,-20.2,363
BC,2002,7.52,39.9,-21.5,353
BC,2003,8.02,40.8,-21.0,342
BC,2004,8.7,41.8,-20.4,334
BC,2005,8.29,39.0,-20.8,327
BC,2006,8.02,41.0,-20.9,320
BC,2007,7.46,39.8,-21.0,325
BC,2008,7.17,40.0,-23.3,312
BC,2009,7.52,41.5,-23.6,296
BC,2010,8.38,38.4,-17.9,300
BC,2011,7.58,38.0,-20.5,286
BC,2012,7.97,40.3,-19.9,286
BC,2013,8.49,40.5,-19.3,274
BC,2014,8.72,41.7,-21.5,262
BC,2015,9.44,40.9,-17.3,257
BC,2016,9.28,39.0,-17.4,232
BC,2017,8.46,41.0,-21.1,226
BC,2018,8.54,40.8,-19.7,213
BC,2019,8.45,39.2,-21.4,206
BC,2020,8.55,39.0,-19.2,205
BC,2021,8.63,42.3,-21.2,201
BC,2022,8.61,42.2,-21.5,190
BC,2023,9.41,40.7,-16.9,187
BC,2024,4.57,31.9,-23.0,177
MB,1950,-0.34,37.2,-49.4,48
MB,1951,0.59,40.6,-45.6,52
MB,1952,3.02,40.0,-42.2,52
MB,1953,3.18,36.1,-41.1,53
MB,1954,2.4,35.6,-42.8,55
MB,1955,1.87,37.8,-46.7,57
MB,1956,1.42,37.2,-46.7,61
MB,1957,2.41,37.8,-45.6,65
MB,1958,2.32,38.9,-43.3,66
MB,1959,1.38,38.3,-45.0,72
MB,1960,1.52,38.3,-47.2,79
MB,1961,2.25,39.4,-45.0,83
MB,1962,1.62,35.0,-47.8,87
MB,1963,2.78,37.8,-48.9,90
MB,1964,1.62,40.0,-46.1,90
MB,1965,0.78,37.2,-47.8,91
MB,1966,0.23,36.7,-51.7,99
MB,1967,1.16,36.7,-47.2,103
MB,1968,1.37,37.8,-45.6,105
MB,1969,1.25,37.8,-46.1,113
MB,1970,1.16,38.3,-46.1,125
MB,1971,1.5,38.9,-46.7,125
MB,1972,-0.03,38.3,-48.3,125
MB,1973,2.55,36.7,-43.3,134
MB,1974,0.81,37.2,-47.8,132
MB,1975,1.5,39.4,-46.7,129
MB,1976,1.83,39.4,-45.0,130
MB,1977,2.83,36.7,-45.6,128
