Year,GEO,Population,Province
1950,Alberta,919744,AB
1950,British Columbia,1139195,BC
1950,Canada,13703500,CA
1950,Manitoba,758813,MB
1950,New Brunswick,504250,NB
1950,Newfoundland and Labrador,353072,NL
1950,Nova Scotia,627142,NS
1950,Ontario,4501185,ON
1950,Quebec,3965725,QC
1950,Saskatchewan,813432,SK
1950,Yukon,8778,YT
1951,Alberta,939834,AB
1951,British Columbia,1164661,BC
1951,Canada,14005000,CA
1951,Manitoba,775444,MB
1951,New Brunswick,514805,NB
1951,Newfoundland and Labrador,360863,NL
1951,Nova Scotia,640398,NS
1951,Ontario,4603440,ON
1951,Quebec,4052052,QC
1951,Saskatchewan,830152,SK
1951,Yukon,8953,YT
1952,Alberta,971500,AB
1952,British Columbia,1204500,BC
1952,Canada,14436750,CA
1952,Manitoba,796000,MB
1952,New Brunswick,525250,NB
1952,Newfoundland and Labrador,372750,NL
1952,Nova Scotia,652250,NS
1952,Ontario,4779250,ON
1952,Quebec,4167750,QC
1952,Saskatchewan,842250,SK
1952,Yukon,9000,YT
1953,Alberta,1010250,AB
1953,British Columbia,1248250,BC
1953,Canada,14833000,CA
1953,Manitoba,808500,MB
1953,New Brunswick,532500,NB
1953,Newfoundland and Labrador,383000,NL
1953,Nova Scotia,663250,NS
1953,Ontario,4935250,ON
1953,Quebec,4267000,QC
1953,Saskatchewan,859000,SK
1953,Yukon,9000,YT
1954,Alberta,1054250,AB
1954,British Columbia,1294000,BC
1954,Canada,15269500,CA
1954,Manitoba,822500,MB
1954,New Brunswick,539750,NB
1954,Newfoundland and Labrador,394500,NL
1954,Nova Scotia,672000,NS
1954,Ontario,5108250,ON
1954,Quebec,4385000,QC
1954,Saskatchewan,871750,SK
1954,Yukon,9750,YT
1955,Alberta,1089500,AB
1955,British Columbia,1341500,BC
1955,Canada,15681250,CA
1955,Manitoba,838750,MB
1955,New Brunswick,547000,NB
1955,Newfoundland and Labrador,405500,NL
1955,Nova Scotia,682750,NS
1955,Ontario,5258250,ON
1955,Quebec,4510750,QC
1955,Saskatchewan,878250,SK
1955,Yukon,11250,YT
1956,Alberta,1122250,AB
1956,British Columbia,1399000,BC
1956,Canada,16070250,CA
1956,Manitoba,848750,MB
1956,New Brunswick,554500,NB
1956,Newfoundland and Labrador,415000,NL
1956,Nova Scotia,693250,NS
1956,Ontario,5403000,ON
1956,Quebec,4624750,QC
1956,Saskatchewan,879750,SK
1956,Yukon,12000,YT
1957,Alberta,1161250,AB
1957,British Columbia,1479500,BC
1957,Canada,16579500,CA
1957,Manitoba,858250,MB
1957,New Brunswick,561500,NB
1957,Newfoundland and Labrador,423500,NL
1957,Nova Scotia,699000,NS
1957,Ontario,5624750,ON
1957,Quebec,4762500,QC
1957,Saskatchewan,878750,SK
1957,Yukon,12250,YT
1958,Alberta,1205250,AB
1958,British Columbia,1536000,BC
1958,Canada,17062250,CA
1958,Manitoba,874500,MB
1958,New Brunswick,570500,NB
1958,Newfoundland and Labrador,431500,NL
1958,Nova Scotia,708750,NS
1958,Ontario,5814250,ON
1958,Quebec,4897500,QC
1958,Saskatchewan,891000,SK
1958,Yukon,13000,YT
1959,Alberta,1247250,AB
1959,British Columbia,1567000,BC
1959,Canada,17467500,CA
1959,Manitoba,889750,MB
1959,New Brunswick,581000,NB
1959,Newfoundland and Labrador,440000,NL
1959,Nova Scotia,719000,NS
1959,Ontario,5962500,ON
1959,Quebec,5019750,QC
1959,Saskatchewan,905750,SK
1959,Yukon,13000,YT
1960,Alberta,1289750,AB
1960,British Columbia,1601000,BC
1960,Canada,17855250,CA
1960,Manitoba,905500,MB
1960,New Brunswick,588000,NB
1960,Newfoundland and Labrador,448250,NL
1960,Nova Scotia,726500,NS
1960,Ontario,6105500,ON
1960,Quebec,5137500,QC
1960,Saskatchewan,914250,SK
1960,Yukon,14000,YT
1961,Alberta,1330500,AB
1961,British Columbia,1629750,BC
1961,Canada,18224500,CA
1961,Manitoba,921250,MB
1961,New Brunswick,597000,NB
1961,Newfoundland and Labrador,457750,NL
1961,Nova Scotia,736250,NS
1961,Ontario,6231000,ON
1961,Quebec,5254500,QC
1961,Saskatchewan,924000,SK
1961,Yukon,14500,YT
1962,Alberta,1368500,AB
1962,British Columbia,1660000,BC
1962,Canada,18570750,CA
1962,Manitoba,935000,MB
1962,New Brunswick,604500,NB
1962,Newfoundland and Labrador,467500,NL
1962,Nova Scotia,745000,NS
1962,Ontario,6347500,ON
1962,Quebec,5367000,QC
1962,Saskatchewan,929250,SK
1962,Yukon,15000,YT
1963,Alberta,1402500,AB
1963,British Columbia,1699500,BC
1963,Canada,18919000,CA
1963,Manitoba,948500,MB
1963,New Brunswick,608250,NB
1963,Newfoundland and Labrador,475750,NL
1963,Nova Scotia,749750,NS
1963,Ontario,6478500,ON
1963,Quebec,5476250,QC
1963,Saskatchewan,931500,SK
1963,Yukon,15000,YT
1964,Alberta,1427750,AB
1964,British Columbia,1745000,BC
1964,Canada,19277250,CA
1964,Manitoba,958250,MB
1964,New Brunswick,610750,NB
1964,Newfoundland and Labrador,482750,NL
1964,Nova Scotia,754000,NS
1964,Ontario,6626750,ON
1964,Quebec,5580250,QC
1964,Saskatchewan,941000,SK
1964,Yukon,15000,YT
1965,Alberta,1448000,AB
1965,British Columbia,1800000,BC
1965,Canada,19633500,CA
1965,Manitoba,963500,MB
1965,New Brunswick,614500,NB
1965,Newfoundland and Labrador,487000,NL
1965,Nova Scotia,755000,NS
1965,Ontario,6783250,ON
1965,Quebec,5681500,QC
1965,Saskatchewan,949500,SK
1965,Yukon,14750,YT
1966,Alberta,1462500,AB
1966,British Columbia,1873750,BC
1966,Canada,19997500,CA
1966,Manitoba,961750,MB
1966,New Brunswick,616500,NB
1966,Newfoundland and Labrador,493000,NL
1966,Nova Scotia,755500,NS
1966,Ontario,6954000,ON
1966,Quebec,5774250,QC
1966,Saskatchewan,954750,SK
1966,Yukon,14500,YT
1967,Alberta,1488250,AB
1967,British Columbia,1945750,BC
1967,Canada,20363750,CA
1967,Manitoba,962250,MB
1967,New Brunswick,620000,NB
1967,Newfoundland and Labrador,499000,NL
1967,Nova Scotia,759500,NS
1967,Ontario,7121750,ON
1967,Quebec,5857500,QC
1967,Saskatchewan,956750,SK
1967,Yukon,15000,YT
1968,Alberta,1522750,AB
1968,British Columbia,2003250,BC
1968,Canada,20692000,CA
1968,Manitoba,970000,MB
1968,New Brunswick,625250,NB
1968,Newfoundland and Labrador,506000,NL
1968,Nova Scotia,767000,NS
1968,Ontario,7257750,ON
1968,Quebec,5924500,QC
1968,Saskatchewan,959750,SK
1968,Yukon,15500,YT
1969,Alberta,1558000,AB
1969,British Columbia,2060250,BC
1969,Canada,20994250,CA
1969,Manitoba,977500,MB
1969,New Brunswick,627500,NB
1969,Newfoundland and Labrador,513750,NL
1969,Nova Scotia,775000,NS
1969,Ontario,7385250,ON
1969,Quebec,5981000,QC
1969,Saskatchewan,957750,SK
1969,Yukon,16000,YT
1970,Alberta,1593000,AB
1970,British Columbia,2127750,BC
1970,Canada,21287500,CA
1970,Manitoba,981250,MB
1970,New Brunswick,626750,NB
1970,Newfoundland and Labrador,517250,NL
1970,Nova Scotia,781500,NS
1970,Ontario,7548750,ON
1970,Quebec,6010750,QC
1970,Saskatchewan,940750,SK
1970,Yukon,17000,YT
1971,Alberta,1645089,AB
1971,British Columbia,2211280,BC
1971,Canada,21747319,CA
1971,Manitoba,991958,MB
1971,New Brunswick,637547,NB
1971,Newfoundland and Labrador,526331,NL
1971,Nova Scotia,792274,NS
1971,Ontario,7767567,ON
1971,Quebec,6081106,QC
1971,Saskatchewan,928275,SK
1971,Yukon,18613,YT
1972,Alberta,1691588,AB
1972,British Columbia,2297348,BC
1972,Canada,22187095,CA
1972,Manitoba,1000587,MB
1972,New Brunswick,648586,NB
1972,Newfoundland and Labrador,538425,NL
1972,Nova Scotia,802157,NS
1972,Ontario,7947178,ON
1972,Quebec,6168675,QC
1972,Saskatchewan,920467,SK
1972,Yukon,20074,YT
1973,Alberta,1722375,AB
1973,British Columbia,2360797,BC
1973,Canada,22453742,CA
1973,Manitoba,1005965,MB
1973,New Brunswick,655909,NB
1973,Newfoundland and Labrador,544822,NL
1973,Nova Scotia,811262,NS
1973,Ontario,8057794,ON
1973,Quebec,6207238,QC
1973,Saskatchewan,911644,SK
1973,Yukon,20951,YT
1974,Alberta,1752854,AB
1974,British Columbia,2434720,BC
1974,Canada,22772043,CA
1974,Manitoba,1016226,MB
1974,New Brunswick,664456,NB
1974,Newfoundland and Labrador,548901,NL
1974,Nova Scotia,818261,NS
1974,Ontario,8189190,ON
1974,Quebec,6261372,QC
1974,Saskatchewan,908116,SK
1974,Yukon,21068,YT
1975,Alberta,1802853,AB
1975,British Columbia,2494629,BC
1975,Canada,23103010,CA
1975,Manitoba,1023105,MB
1975,New Brunswick,676037,NB
1975,Newfoundland and Labrador,555594,NL
1975,Nova Scotia,826194,NS
1975,Ontario,8304342,ON
1975,Quebec,6322332,QC
1975,Saskatchewan,915819,SK
1975,Yukon,21848,YT
1976,Alberta,1864399,AB
1976,British Columbia,2531737,BC
1976,Canada,23414354,CA
1976,Manitoba,1030789,MB
1976,New Brunswick,688276,NB
1976,Newfoundland and Labrador,561778,NL
1976,Nova Scotia,834812,NS
1976,Ontario,8401757,ON
1976,Quebec,6385255,QC
1976,Saskatchewan,930528,SK
1976,Yukon,22368,YT
1977,Alberta,1942192,AB
1977,British Columbia,2567936,BC
1977,Canada,23693935,CA
1977,Manitoba,1036468,MB
1977,New Brunswick,694403,NB
1977,Newfoundland and Labrador,564767,NL
1977,Nova Scotia,839945,NS
1977,Ontario,8493530,ON
1977,Quebec,6425092,QC
1977,Saskatchewan,942943,SK
1977,Yukon,22445,YT
1978,Alberta,2017090,AB
1978,British Columbia,2611636,BC
1978,Canada,23935460,CA
1978,Manitoba,1039574,MB
1978,New Brunswick,698544,NB
1978,Newfoundland and Labrador,567177,NL
1978,Nova Scotia,844466,NS
1978,Ontario,8578040,ON
1978,Quebec,6437989,QC
1978,Saskatchewan,951505,SK
1978,Yukon,22945,YT
1979,Alberta,2092557,AB
1979,British Columbia,2662293,BC
1979,Canada,24170164,CA
1979,Manitoba,1036582,MB
1979,New Brunswick,701924,NB
1979,Newfoundland and Labrador,569598,NL
1979,Nova Scotia,848879,NS
1979,Ontario,8648592,ON
1979,Quebec,6459979,QC
1979,Saskatchewan,958596,SK
1979,Yukon,22924,YT
1980,Alberta,2184262,AB
1980,British Columbia,2737538,BC
