Province,Year,Annual_Mean_Temp,Annual_Max_Temp,Annual_Min_Temp,Station_Count,GEO,Population
AB,1950,1.25,36.7,-46.1,96,Alberta,919744
AB,1951,0.88,38.9,-44.4,96,Alberta,939834
AB,1952,4.11,36.1,-36.7,104,Alberta,971500
AB,1953,4.39,38.9,-33.3,112,Alberta,1010250
AB,1954,3.08,40.0,-38.9,111,Alberta,1054250
AB,1955,1.35,38.3,-43.3,117,Alberta,1089500
AB,1956,3.17,36.7,-40.0,136,Alberta,1122250
AB,1957,2.95,36.7,-38.3,125,Alberta,1161250
AB,1958,3.84,36.7,-35.0,127,Alberta,1205250
AB,1959,2.68,36.7,-37.3,122,Alberta,1247250
AB,1960,2.99,40.6,-38.3,119,Alberta,1289750
AB,1961,3.86,41.7,-37.8,123,Alberta,1330500
AB,1962,4.83,36.1,-35.6,180,Alberta,1368500
AB,1963,5.6,37.2,-35.0,201,Alberta,1402500
AB,1964,4.45,38.9,-35.6,208,Alberta,1427750
AB,1965,4.32,35.6,-37.8,279,Alberta,1448000
AB,1966,4.19,35.0,-37.8,303,Alberta,1462500
AB,1967,4.92,38.3,-35.6,326,Alberta,1488250
AB,1968,4.8,37.2,-34.5,332,Alberta,1522750
AB,1969,4.49,40.6,-39.4,335,Alberta,1558000
AB,1970,4.39,41.1,-38.9,344,Alberta,1593000
AB,1971,4.62,39.4,-38.9,329,Alberta,1645089
AB,1972,3.74,36.7,-40.0,337,Alberta,1691588
AB,1973,4.81,40.0,-33.9,350,Alberta,1722375
AB,1974,4.74,39.4,-33.9,366,Alberta,1752854
AB,1975,3.89,40.6,-38.3,373,Alberta,1802853
AB,1976,6.2,37.2,-32.2,360,Alberta,1864399
AB,1977,5.56,36.7,-32.4,356,Alberta,1942192
AB,1978,4.7,39.0,-36.3,347,Alberta,2017090
AB,1979,4.91,38.5,-37.8,341,Alberta,2092557
AB,1980,5.51,35.0,-35.3,347,Alberta,2184262
AB,1981,6.88,38.0,-28.8,348,Alberta,2282738
AB,1982,3.53,35.0,-40.7,346,Alberta,2359433
AB,1983,5.07,41.0,-34.8,343,Alberta,2389818
AB,1984,5.03,44.0,-34.9,344,Alberta,2394104
AB,1985,4.46,39.0,-36.0,360,Alberta,2402201
AB,1986,5.87,38.2,-30.7,358,Alberta,2425855
AB,1987,6.7,39.0,-26.4,364,Alberta,2437612
AB,1988,6.1,40.0,-32.8,369,Alberta,2453974
AB,1989,5.41,38.0,-37.3,388,Alberta,2493023
AB,1990,5.67,39.0,-36.1,381,Alberta,2540902
AB,1991,5.93,40.0,-33.0,362,Alberta,2587477
AB,1992,5.91,36.5,-30.1,362,Alberta,2627162
AB,1993,5.16,35.0,-32.5,377,Alberta,2663774
AB,1994,4.95,37.8,-37.0,374,Alberta,2696102
AB,1995,4.31,39.4,-35.5,378,Alberta,2730105
AB,1996,2.94,37.0,-43.0,383,Alberta,2770298
AB,1997,5.6,38.5,-33.8,375,Alberta,2822523
AB,1998,6.47,40.2,-33.8,370,Alberta,2887726
AB,1999,5.84,36.8,-28.8,384,Alberta,2945712
AB,2000,4.28,38.5,-34.4,398,Alberta,2996032
AB,2001,5.31,39.8,-31.7,410,Alberta,3051622
AB,2002,3.84,40.0,-35.3,454,Alberta,3118802
AB,2003,4.38,39.4,-35.7,463,Alberta,3176504
AB,2004,4.81,39.0,-32.3,457,Alberta,3233188
AB,2005,5.28,37.2,-30.6,456,Alberta,3310477
AB,2006,5.62,38.3,-31.1,444,Alberta,3411010
AB,2007,5.25,41.0,-31.6,486,Alberta,3502798
AB,2008,4.65,38.1,-36.9,421,Alberta,3582868
AB,2009,3.85,37.0,-38.1,396,Alberta,3667767
AB,2010,4.43,37.7,-32.8,395,Alberta,3724157
AB,2011,4.29,37.9,-36.0,403,Alberta,3778993
AB,2012,3.62,37.8,-36.1,252,Alberta,3859303
AB,2013,3.14,36.7,-38.3,243,Alberta,3962294
AB,2014,2.81,36.6,-39.7,236,Alberta,4066082
AB,2015,4.79,38.5,-33.1,226,Alberta,4138209
AB,2016,4.95,35.6,-31.0,220,Alberta,4189192
AB,2017,3.97,38.1,-36.4,211,Alberta,4232820
AB,2018,2.74,40.8,-38.2,210,Alberta,4286099
AB,2019,2.36,37.3,-40.1,206,Alberta,4348515
AB,2020,3.21,37.7,-37.6,206,Alberta,4404480
AB,2021,3.89,42.8,-40.0,203,Alberta,4431360
AB,2022,3.01,40.6,-41.7,201,Alberta,4503729
AB,2023,5.04,39.8,-33.4,199,Alberta,4666165
BC,1950,6.25,38.3,-30.6,148,British Columbia,1139195
BC,1951,6.51,40.6,-27.8,157,British Columbia,1164661
BC,1952,7.31,39.4,-22.8,167,British Columbia,1204500
BC,1953,7.87,38.9,-19.4,171,British Columbia,1248250
BC,1954,6.75,35.6,-23.9,179,British Columbia,1294000
BC,1955,5.43,39.4,-27.8,189,British Columbia,1341500
BC,1956,6.66,41.1,-26.1,189,British Columbia,1399000
BC,1957,6.87,36.7,-26.7,212,British Columbia,1479500
BC,1958,8.46,40.6,-21.1,225,British Columbia,1536000
BC,1959,6.97,39.5,-22.8,237,British Columbia,1567000
BC,1960,7.22,40.6,-22.2,246,British Columbia,1601000
BC,1961,7.75,41.7,-22.2,253,British Columbia,1629750
BC,1962,7.67,38.9,-21.7,265,British Columbia,1660000
BC,1963,8.04,37.8,-21.7,260,British Columbia,1699500
BC,1964,6.74,38.3,-22.8,252,British Columbia,1745000
BC,1965,7.39,41.7,-22.8,269,British Columbia,1800000
BC,1966,7.24,38.3,-22.2,282,British Columbia,1873750
BC,1967,7.86,41.1,-21.7,283,British Columbia,1945750
BC,1968,7.37,40.0,-23.4,289,British Columbia,2003250
BC,1969,7.25,40.0,-26.1,299,British Columbia,2060250
BC,1970,6.95,38.9,-23.9,325,British Columbia,2127750
BC,1971,6.51,42.2,-25.6,332,British Columbia,2211280
BC,1972,6.21,40.0,-27.2,337,British Columbia,2297348
BC,1973,6.74,39.4,-23.3,368,British Columbia,2360797
BC,1974,7.19,41.1,-22.8,408,British Columbia,2434720
BC,1975,5.99,41.1,-26.7,421,British Columbia,2494629
BC,1976,6.68,36.7,-21.7,403,British Columbia,2531737
BC,1977,6.71,40.6,-23.9,397,British Columbia,2567936
BC,1978,6.75,41.5,-25.7,384,British Columbia,2611636
BC,1979,7.07,41.5,-27.3,381,British Columbia,2662293
BC,1980,7.03,38.0,-24.7,400,British Columbia,2737538
BC,1981,7.57,39.1,-19.9,399,British Columbia,2816980
BC,1982,6.02,39.5,-27.3,409,British Columbia,2871303
BC,1983,7.14,38.5,-23.7,415,British Columbia,2904171
BC,1984,6.4,39.0,-24.0,440,British Columbia,2941539
BC,1985,5.96,41.0,-26.8,432,British Columbia,2972265
BC,1986,7.27,39.5,-21.9,435,British Columbia,3000682
BC,1987,8.01,40.5,-19.2,451,British Columbia,3043088
BC,1988,7.44,40.0,-21.7,465,British Columbia,3108064
BC,1989,7.28,38.0,-24.5,462,British Columbia,3189665
BC,1990,7.44,40.2,-25.2,463,British Columbia,3282328
BC,1991,7.5,39.0,-22.5,471,British Columbia,3367589
BC,1992,8.11,39.8,-20.6,477,British Columbia,3459366
BC,1993,7.44,37.5,-24.7,471,British Columbia,3558491
BC,1994,8.03,42.6,-21.8,456,British Columbia,3664473
BC,1995,7.9,40.0,-22.7,453,British Columbia,3766198
BC,1996,6.42,41.2,-28.3,420,British Columbia,3862540
BC,1997,7.92,38.7,-20.8,400,British Columbia,3939702
BC,1998,8.81,42.8,-20.5,395,British Columbia,3981074
BC,1999,7.52,37.5,-18.3,385,British Columbia,4007763
BC,2000,7.32,38.8,-21.4,375,British Columbia,4037128
BC,2001,7.47,38.7,-20.2,363,British Columbia,4070963
BC,2002,7.52,39.9,-21.5,353,British Columbia,4097537
BC,2003,8.02,40.8,-21.0,342,British Columbia,4121032
BC,2004,8.7,41.8,-20.4,334,British Columbia,4152311
